PAC	Best_druggability_status
A0A075B6K4	3D_ligandable
A0A075B6N1	3D_ligandable
A0A075B6N4	3D_ligandable
A0A0A6YYJ7	3D_ligandable
A0A0A6YYK1	3D_ligandable
A0A0B4J1V0	3D_ligandable
A0A0B4J1V1	3D_ligandable
A0A0B4J1Y9	3D_ligandable
A0A0B4J238	3D_ligandable
A0A0B4J265	3D_ligandable
A0A0B4J271	3D_ligandable
A0A0B4J272	3D_ligandable
A0A0B4J277	3D_ligandable
A0A0B4J2E0	3D_ligandable
A0A0B4J2H0	3D_ligandable
A0A0C4DH28	3D_ligandable
A0A0C4DH69	3D_ligandable
A0A0J9YXY3	3D_ligandable
A0A0K0K1A5	3D_ligandable
A0A0K0K1C4	3D_ligandable
A0A0K0K1D8	3D_ligandable
A0A0K0K1G6	3D_ligandable
A0A140G945	3D_ligandable
A0A1B0GX31	3D_ligandable
A0A1B0GX51	3D_ligandable
A0A1B0GX56	3D_ligandable
A0A1B0GX68	3D_ligandable
A0A1B0GXF2	3D_ligandable
A0A577	3D_ligandable
A0A578	3D_ligandable
A0A599	3D_ligandable
A0A5A2	3D_ligandable
A0A5B6	3D_ligandable
A0A5B7	3D_ligandable
A0A5B9	3D_ligandable
A0AVK6	3D_ligandable
A0FGR8	3D_ligandable
A1L3X0	3D_ligandable
A1Z1Q3	3D_ligandable
A2RUC4	3D_ligandable
A4D1P6	3D_ligandable
A5LHX3	Approved
A5X5Y0	Approved
A5YKK6	3D_ligandable
A6H8Y1	3D_ligandable
A6ND01	3D_ligandable
A6NGN9	3D_ligandable
A6NHC0	3D_ligandable
A6NHG4	3D_ligandable
A6NHR9	3D_ligandable
A6NK06	3D_ligandable
A8MW92	3D_ligandable
A8MYU2	3D_ligandable
A9YTQ3	3D_ligandable
B1AL88	3D_ligandable
B2RXH2	3D_ligandable
B5ME19	3D_ligandable
B9A064	3D_ligandable
O00139	3D_ligandable
O00141	3D_ligandable
O00159	3D_ligandable
O00161	3D_ligandable
O00167	3D_ligandable
O00170	3D_ligandable
O00182	3D_ligandable
O00187	3D_ligandable
O00189	3D_ligandable
O00204	3D_ligandable
O00213	3D_ligandable
O00214	3D_ligandable
O00217	Approved
O00222	3D_ligandable
O00231	3D_ligandable
O00232	3D_ligandable
O00238	3D_ligandable
O00244	3D_ligandable
O00255	Quality_probe
O00257	Quality_probe
O00258	3D_ligandable
O00267	3D_ligandable
O00273	3D_ligandable
O00294	3D_ligandable
O00299	3D_ligandable
O00303	3D_ligandable
O00305	Approved
